$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -release  JUN 22, 2021 11:17:23

*RUN   1        : [1] INOS (INOS0001.WTH)   CSCER047 UAVA1901    1
 MODEL          : CSCER047 - Wheat
 EXPERIMENT     : UAVA1901 WH TRIGO PANDORA ROTACION
 DATA PATH      : C:\DSSAT47\SensWork\
 TREATMENT  1   : [1] INOS (INOS0001.WTH)   CSCER047
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 2000 228    15     0   9.1  -6.0  0.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00   142   142     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   500   -99  0.02  0.00   7.7  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.09  0.50  0.00
 2000 229    16     1  10.6  -6.0  4.77  0.00  0.00  0.00   0.0  0.00 0.000  0.00   142   142     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   500   -99  0.02  0.00   7.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.50  0.00
 2000 230    17     2  10.0  -6.0  7.66  0.00  0.00  0.00   0.0  0.00 0.000  0.00   142   142     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   500   -99  0.02  0.00   7.4  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.50  0.00
 2000 231    18     3  11.6  -6.0 10.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00   142   141     1     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   500   -99  0.04  0.00  14.6  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.46  0.00
 2000 232    19     4  11.1  -6.0 10.23  0.23  0.03  0.00   0.0  0.03 0.004  0.04   142   123     2    17    11     6     0  0.00     0     0     0     0     0 .0005   0.0     0     0   500   300  0.05  0.75  21.1  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.41  0.39
 2000 233    20     5  10.4  -6.0 10.44  0.44  0.05  2.78   2.3  0.07 0.008  0.07   144   107     3    35    22    13     0  0.00     0     0     2     0     0 .0014   4.9     0     0   500   298  0.07  0.75  25.4  99.9  1.88  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.35  0.38
 2000 234    21     6   9.4  -6.0 10.63  0.63  0.08  2.78   2.5  0.09 0.011  0.10   146    93     3    50    31    19     0  0.00     0     0     4     0     0 .0026   7.1     0     0   500   298  0.08  0.75  30.3  99.9  2.56  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.06  0.28  0.38
 2000 235    22     7  13.0  -6.0 10.90  0.90  0.09  1.80   7.5  0.11 0.013  0.13   153    83     5    66    38    28     0  0.00     0     0     9     0     0 .0047  13.7     0     0   500   298  0.10  0.72  37.0  99.9  0.65  0.71  0.35  0.50  0.00  0.00  0.00   0.0  0.00  0.00  0.26  0.38
 2000 236    23     8  10.0  -6.0 11.10  1.10  0.11  2.27  11.1  0.13 0.015  0.15   163    73     6    84    45    39     0  0.00     0     0    17     0     0 .0069  20.5     0     0   500   297  0.12  0.74  42.1  99.9  0.82  0.36  0.18  0.37  0.00  0.00  0.00   0.0  0.00  0.00  0.19  0.37
 2000 237    24     9  11.9  -6.0 11.34  1.34  0.13  2.78  11.5  0.17 0.020  0.19   173    60     8   106    58    48     0  0.00     0     0    19     0     0 .0106  18.4     0     0   500   296  0.14  0.76  48.2  99.9  1.30  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.15  0.37
 2000 238    25    10   7.8  -6.2 11.50  1.50  0.15  2.78  18.9  0.19 0.022  0.21   190    54    11   126    63    63     0  0.00     0     0    31     0     0 .0137  24.8     0     0   500   295  0.15  0.76  53.6  99.9  1.11  0.00  0.00  0.14  0.00  0.00  0.00   0.0  0.00  0.23  0.06  0.36
 2000 239    26    11   7.1  -6.4 11.64  1.64  0.16  2.78  13.5  0.20 0.024  0.23   203    49    13   141    69    72     0  0.00     0     0    38     0     0 .0175  26.7     0     0   500   294  0.16  0.76  59.0  99.9  2.15  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.29  0.00  0.36
 2000 240    27    12   5.2  -6.8 11.75  1.75  0.16  2.78  22.7  0.21 0.025  0.24   223    46    16   161    72    89     0  0.00     0     0    53     0     0 .0207  33.0     0     0   500   294  0.17  0.76  62.7  99.9  1.58  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.49  0.00  0.36
